Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
6.0,08-01-2021,0,17.0,12.0,1.0,0.0
22.0,08-01-2021,5,17.0,8.0,2.0,0.0
22.0,08-01-2021,4,26.0,14.0,2.0,0.0
22.0,08-01-2021,3,0.0,0.0,0.0,0.0
22.0,08-01-2021,2,36.0,19.0,3.0,1.0
22.0,08-01-2021,1,6.0,1.0,-1.0,0.0
0.0,08-01-2021,5,14.0,10.0,2.0,0.0
0.0,08-01-2021,4,22.0,14.0,2.0,0.0
0.0,08-01-2021,2,6.0,4.0,-1.0,0.0
0.0,08-01-2021,1,16.0,7.0,2.0,0.0
0.0,08-01-2021,0,59.0,35.0,6.0,1.0
11.0,08-01-2021,5,5.0,5.0,0.0,0.0
11.0,08-01-2021,4,5.0,1.0,0.0,0.0
11.0,08-01-2021,3,0.0,0.0,0.0,0.0
11.0,08-01-2021,2,6.0,5.0,0.0,0.0
11.0,08-01-2021,1,1.0,1.0,0.0,0.0
11.0,08-01-2021,0,15.0,8.0,2.0,0.0
3.0,08-01-2021,0,39.0,25.0,3.0,0.0
3.0,08-01-2021,1,5.0,5.0,0.0,0.0
3.0,08-01-2021,2,12.0,6.0,0.0,0.0
3.0,08-01-2021,4,17.0,12.0,1.0,0.0
3.0,08-01-2021,5,10.0,4.0,0.0,0.0
19.0,08-01-2021,5,18.0,12.0,3.0,0.0
19.0,08-01-2021,4,20.0,14.0,1.0,0.0
19.0,08-01-2021,3,0.0,0.0,-1.0,0.0
19.0,08-01-2021,2,27.0,15.0,3.0,0.0
13.0,08-01-2021,3,0.0,1.0,0.0,-1.0
13.0,08-01-2021,2,60.0,36.0,5.0,1.0
13.0,08-01-2021,1,5.0,5.0,0.0,0.0
13.0,08-01-2021,0,69.0,39.0,5.0,1.0
2.0,08-01-2021,0,56.0,33.0,4.0,1.0
2.0,08-01-2021,1,12.0,8.0,0.0,0.0
2.0,08-01-2021,2,12.0,6.0,0.0,0.0
2.0,08-01-2021,4,21.0,11.0,1.0,0.0
2.0,08-01-2021,5,18.0,8.0,2.0,0.0
6.0,08-01-2021,1,3.0,2.0,0.0,0.0
16.0,08-01-2021,0,77.0,45.0,7.0,1.0
7.0,08-01-2021,0,7.0,4.0,-1.0,0.0
7.0,08-01-2021,4,3.0,1.0,0.0,0.0
7.0,08-01-2021,5,2.0,0.0,0.0,0.0
12.0,08-01-2021,5,16.0,9.0,0.0,0.0
12.0,08-01-2021,4,16.0,11.0,2.0,0.0
12.0,08-01-2021,3,0.0,0.0,-1.0,0.0
12.0,08-01-2021,2,12.0,5.0,0.0,0.0
12.0,08-01-2021,1,6.0,2.0,0.0,0.0
12.0,08-01-2021,0,43.0,27.0,5.0,0.0
19.0,08-01-2021,0,55.0,34.0,4.0,1.0
19.0,08-01-2021,1,6.0,1.0,0.0,0.0
7.0,08-01-2021,1,1.0,-2.0,0.0,0.0
13.0,08-01-2021,4,29.0,16.0,3.0,0.0
16.0,08-01-2021,1,5.0,1.0,0.0,0.0
16.0,08-01-2021,3,0.0,0.0,0.0,0.0
17.0,08-01-2021,3,0.0,0.0,-1.0,0.0
17.0,08-01-2021,2,63.0,39.0,5.0,1.0
17.0,08-01-2021,1,6.0,1.0,1.0,0.0
17.0,08-01-2021,0,64.0,39.0,6.0,1.0
4.0,08-01-2021,0,33.0,19.0,3.0,0.0
4.0,08-01-2021,1,5.0,5.0,1.0,0.0
4.0,08-01-2021,2,9.0,3.0,1.0,0.0
4.0,08-01-2021,3,0.0,0.0,0.0,0.0
4.0,08-01-2021,4,14.0,7.0,0.0,0.0
4.0,08-01-2021,5,9.0,4.0,0.0,0.0
8.0,08-01-2021,5,1.0,2.0,1.0,-1.0
8.0,08-01-2021,4,2.0,3.0,0.0,-1.0
8.0,08-01-2021,2,3.0,3.0,0.0,0.0
8.0,08-01-2021,1,0.0,0.0,0.0,0.0
8.0,08-01-2021,0,6.0,3.0,0.0,0.0
5.0,08-01-2021,0,21.0,11.0,2.0,0.0
5.0,08-01-2021,1,3.0,2.0,0.0,0.0
5.0,08-01-2021,2,3.0,0.0,0.0,0.0
5.0,08-01-2021,3,0.0,0.0,0.0,0.0
5.0,08-01-2021,4,9.0,4.0,0.0,0.0
5.0,08-01-2021,5,5.0,3.0,1.0,0.0
17.0,08-01-2021,4,24.0,14.0,1.0,0.0
17.0,08-01-2021,5,20.0,10.0,0.0,0.0
20.0,08-01-2021,5,25.0,15.0,2.0,0.0
20.0,08-01-2021,4,21.0,11.0,0.0,0.0
16.0,08-01-2021,4,34.0,21.0,2.0,0.0
16.0,08-01-2021,5,17.0,12.0,1.0,0.0
21.0,08-01-2021,0,53.0,30.0,5.0,1.0
21.0,08-01-2021,1,5.0,3.0,0.0,0.0
21.0,08-01-2021,2,24.0,12.0,3.0,0.0
21.0,08-01-2021,3,0.0,0.0,0.0,0.0
21.0,08-01-2021,4,23.0,13.0,2.0,0.0
21.0,08-01-2021,5,16.0,11.0,0.0,0.0
10.0,08-01-2021,5,1.0,1.0,0.0,0.0
10.0,08-01-2021,4,4.0,4.0,0.0,0.0
16.0,08-01-2021,2,102.0,59.0,11.0,2.0
10.0,08-01-2021,1,0.0,0.0,0.0,0.0
9.0,08-01-2021,5,2.0,1.0,0.0,0.0
9.0,08-01-2021,4,3.0,0.0,1.0,0.0
9.0,08-01-2021,3,0.0,2.0,0.0,-1.0
9.0,08-01-2021,2,6.0,1.0,0.0,0.0
9.0,08-01-2021,1,0.0,0.0,1.0,0.0
9.0,08-01-2021,0,8.0,4.0,0.0,0.0
20.0,08-01-2021,0,58.0,35.0,4.0,1.0
20.0,08-01-2021,1,5.0,5.0,0.0,0.0
20.0,08-01-2021,2,27.0,14.0,1.0,0.0
20.0,08-01-2021,3,0.0,0.0,0.0,0.0
10.0,08-01-2021,0,7.0,4.0,0.0,0.0
13.0,08-01-2021,5,21.0,13.0,3.0,0.0
22.0,08-01-2021,0,61.0,38.0,5.0,1.0
18.0,08-01-2021,1,5.0,4.0,0.0,0.0
23.0,08-01-2021,5,24.0,14.0,2.0,0.0
23.0,08-01-2021,4,24.0,13.0,2.0,0.0
23.0,08-01-2021,3,0.0,0.0,0.0,0.0
23.0,08-01-2021,2,45.0,27.0,5.0,1.0
23.0,08-01-2021,0,63.0,39.0,6.0,1.0
14.0,08-01-2021,5,15.0,9.0,2.0,0.0
14.0,08-01-2021,4,31.0,17.0,1.0,0.0
14.0,08-01-2021,3,0.0,2.0,0.0,-1.0
15.0,08-01-2021,1,5.0,5.0,0.0,0.0
15.0,08-01-2021,2,66.0,38.0,7.0,1.0
15.0,08-01-2021,5,17.0,8.0,0.0,0.0
18.0,08-01-2021,5,22.0,11.0,0.0,0.0
18.0,08-01-2021,4,17.0,8.0,0.0,0.0
18.0,08-01-2021,3,0.0,-2.0,0.0,0.0
18.0,08-01-2021,2,57.0,36.0,5.0,1.0
15.0,08-01-2021,3,0.0,0.0,0.0,0.0
18.0,08-01-2021,0,56.0,34.0,4.0,1.0
14.0,08-01-2021,0,68.0,38.0,5.0,1.0
14.0,08-01-2021,1,4.0,4.0,0.0,0.0
14.0,08-01-2021,2,69.0,41.0,6.0,1.0
15.0,08-01-2021,4,32.0,19.0,4.0,0.0
15.0,08-01-2021,0,70.0,42.0,6.0,1.0
1.0,08-01-2021,0,56.0,31.0,5.0,1.0
23.0,08-01-2021,1,6.0,5.0,0.0,0.0
1.0,08-01-2021,2,9.0,7.0,0.0,0.0
1.0,08-01-2021,4,22.0,13.0,3.0,0.0
1.0,08-01-2021,5,12.0,6.0,0.0,0.0
1.0,08-01-2021,1,15.0,8.0,0.0,0.0
6.0,08-01-2021,4,7.0,5.0,1.0,0.0
6.0,08-01-2021,5,3.0,0.0,1.0,0.0
10.0,08-02-2021,0,20.0,11.0,2.0,0.0
1.0,08-02-2021,0,72.0,43.0,7.0,1.0
1.0,08-02-2021,1,4.0,4.0,0.0,0.0
13.0,08-02-2021,4,33.0,20.0,4.0,0.0
1.0,08-02-2021,3,0.0,1.0,0.0,-1.0
1.0,08-02-2021,4,32.0,18.0,4.0,0.0
1.0,08-02-2021,5,23.0,11.0,0.0,0.0
3.0,08-02-2021,4,22.0,14.0,1.0,0.0
3.0,08-02-2021,2,33.0,20.0,2.0,0.0
3.0,08-02-2021,1,5.0,2.0,0.0,0.0
3.0,08-02-2021,0,51.0,31.0,6.0,1.0
9.0,08-02-2021,5,3.0,1.0,0.0,0.0
3.0,08-02-2021,5,16.0,9.0,0.0,0.0
10.0,08-02-2021,1,2.0,1.0,0.0,0.0
10.0,08-02-2021,3,0.0,0.0,0.0,0.0
10.0,08-02-2021,4,7.0,4.0,0.0,0.0
21.0,08-02-2021,0,145.0,87.0,15.0,3.0
16.0,08-02-2021,5,21.0,13.0,2.0,0.0
16.0,08-02-2021,4,22.0,12.0,2.0,0.0
17.0,08-02-2021,5,15.0,9.0,0.0,0.0
16.0,08-02-2021,3,0.0,0.0,0.0,0.0
16.0,08-02-2021,2,24.0,15.0,3.0,0.0
10.0,08-02-2021,2,33.0,20.0,2.0,0.0
16.0,08-02-2021,1,12.0,6.0,0.0,0.0
21.0,08-02-2021,1,7.0,6.0,0.0,0.0
21.0,08-02-2021,2,717.0,430.0,74.0,17.0
21.0,08-02-2021,3,0.0,0.0,0.0,0.0
21.0,08-02-2021,4,25.0,13.0,3.0,0.0
21.0,08-02-2021,5,28.0,14.0,2.0,0.0
10.0,08-02-2021,5,5.0,5.0,0.0,0.0
16.0,08-02-2021,0,63.0,39.0,7.0,1.0
17.0,08-02-2021,4,26.0,17.0,2.0,0.0
13.0,08-02-2021,2,33.0,18.0,4.0,0.0
9.0,08-02-2021,2,6.0,1.0,-1.0,0.0
4.0,08-02-2021,0,35.0,19.0,3.0,0.0
4.0,08-02-2021,1,1.0,1.0,0.0,0.0
4.0,08-02-2021,2,39.0,22.0,4.0,1.0
4.0,08-02-2021,4,15.0,11.0,2.0,0.0
4.0,08-02-2021,5,10.0,5.0,0.0,0.0
8.0,08-02-2021,5,0.0,0.0,0.0,0.0
8.0,08-02-2021,4,2.0,1.0,0.0,0.0
8.0,08-02-2021,0,4.0,3.0,0.0,0.0
6.0,08-02-2021,5,2.0,2.0,0.0,0.0
6.0,08-02-2021,4,4.0,1.0,0.0,0.0
6.0,08-02-2021,2,3.0,0.0,0.0,0.0
6.0,08-02-2021,1,1.0,1.0,0.0,0.0
6.0,08-02-2021,0,9.0,4.0,0.0,0.0
5.0,08-02-2021,0,20.0,10.0,0.0,0.0
5.0,08-02-2021,1,1.0,-2.0,0.0,0.0
5.0,08-02-2021,2,12.0,6.0,0.0,0.0
5.0,08-02-2021,3,0.0,0.0,0.0,0.0
5.0,08-02-2021,4,8.0,2.0,0.0,0.0
5.0,08-02-2021,5,6.0,5.0,0.0,0.0
23.0,08-02-2021,5,32.0,21.0,4.0,0.0
23.0,08-02-2021,4,23.0,13.0,1.0,0.0
23.0,08-02-2021,2,306.0,181.0,30.0,7.0
23.0,08-02-2021,1,11.0,6.0,0.0,0.0
