Hour,date,Topic,tweets,Male,MaleHate,FemaleHate
0.0,08-01-2021,4,8.0,5.0,0.0,0.0
3.0,08-01-2021,5,5.0,3.0,0.0,0.0
3.0,08-01-2021,4,14.0,7.0,0.0,0.0
3.0,08-01-2021,1,2.0,1.0,0.0,0.0
3.0,08-01-2021,0,18.0,9.0,0.0,0.0
4.0,08-01-2021,5,30.0,21.0,2.0,0.0
4.0,08-01-2021,4,36.0,18.0,0.0,0.0
4.0,08-01-2021,2,2.0,1.0,0.0,0.0
0.0,08-01-2021,0,8.0,5.0,0.0,0.0
4.0,08-01-2021,0,62.0,37.0,4.0,2.0
2.0,08-01-2021,0,12.0,7.0,0.0,0.0
2.0,08-01-2021,4,12.0,6.0,0.0,0.0
1.0,08-01-2021,5,5.0,3.0,0.0,0.0
1.0,08-01-2021,0,2.0,1.0,0.0,0.0
4.0,08-01-2021,1,12.0,8.0,0.0,0.0
2.0,08-02-2021,4,6.0,4.0,0.0,0.0
4.0,08-02-2021,1,2.0,1.0,0.0,0.0
4.0,08-02-2021,4,40.0,24.0,1.0,0.0
2.0,08-02-2021,0,8.0,5.0,0.0,0.0
4.0,08-02-2021,5,5.0,3.0,0.0,0.0
0.0,08-02-2021,5,5.0,3.0,0.0,0.0
0.0,08-02-2021,4,4.0,2.0,0.0,0.0
0.0,08-02-2021,0,6.0,3.0,0.0,0.0
4.0,08-02-2021,0,44.0,30.0,0.0,0.0
2.0,08-02-2021,1,2.0,1.0,0.0,0.0
3.0,08-02-2021,1,4.0,2.0,0.0,0.0
3.0,08-02-2021,0,28.0,14.0,1.0,0.0
3.0,08-02-2021,2,2.0,1.0,0.0,0.0
1.0,08-02-2021,5,5.0,3.0,0.0,0.0
1.0,08-02-2021,4,14.0,9.0,1.0,0.0
3.0,08-02-2021,5,5.0,2.0,0.0,0.0
3.0,08-02-2021,4,20.0,12.0,0.0,0.0
1.0,08-02-2021,0,16.0,11.0,0.0,0.0
4.0,08-03-2021,3,8.0,4.0,0.0,0.0
4.0,08-03-2021,4,42.0,21.0,0.0,0.0
4.0,08-03-2021,5,35.0,21.0,2.0,0.0
4.0,08-03-2021,2,8.0,4.0,0.0,0.0
3.0,08-03-2021,0,26.0,18.0,0.0,0.0
4.0,08-03-2021,1,8.0,5.0,0.0,0.0
4.0,08-03-2021,0,74.0,44.0,6.0,1.0
3.0,08-03-2021,4,18.0,9.0,0.0,0.0
0.0,08-03-2021,0,10.0,6.0,0.0,0.0
0.0,08-03-2021,1,2.0,1.0,0.0,0.0
0.0,08-03-2021,4,6.0,3.0,0.0,0.0
0.0,08-03-2021,5,5.0,2.0,0.0,0.0
3.0,08-03-2021,5,20.0,10.0,0.0,0.0
1.0,08-03-2021,4,8.0,4.0,0.0,0.0
1.0,08-03-2021,0,8.0,5.0,0.0,0.0
2.0,08-03-2021,4,4.0,2.0,0.0,0.0
2.0,08-03-2021,1,2.0,1.0,0.0,0.0
2.0,08-03-2021,0,6.0,3.0,0.0,0.0
0.0,08-04-2021,0,20.0,10.0,0.0,0.0
0.0,08-04-2021,4,10.0,7.0,0.0,0.0
0.0,08-04-2021,5,25.0,12.0,0.0,0.0
1.0,08-04-2021,2,2.0,1.0,0.0,0.0
1.0,08-04-2021,0,10.0,7.0,0.0,0.0
2.0,08-04-2021,5,10.0,5.0,0.0,0.0
2.0,08-04-2021,4,10.0,7.0,0.0,0.0
2.0,08-04-2021,1,2.0,1.0,0.0,0.0
2.0,08-04-2021,0,18.0,10.0,0.0,0.0
1.0,08-04-2021,5,10.0,7.0,0.0,0.0
1.0,08-04-2021,4,4.0,2.0,0.0,0.0
2.0,08-04-2021,2,2.0,1.0,0.0,0.0
4.0,08-04-2021,1,22.0,11.0,0.0,0.0
4.0,08-04-2021,0,66.0,46.0,0.0,0.0
3.0,08-04-2021,4,20.0,14.0,1.0,0.0
4.0,08-04-2021,5,15.0,9.0,0.0,0.0
3.0,08-04-2021,5,10.0,5.0,0.0,0.0
3.0,08-04-2021,1,2.0,1.0,0.0,0.0
4.0,08-04-2021,2,6.0,3.0,0.0,0.0
3.0,08-04-2021,0,26.0,15.0,1.0,0.0
4.0,08-04-2021,4,32.0,19.0,0.0,1.0
2.0,08-05-2021,5,10.0,7.0,0.0,0.0
0.0,08-05-2021,1,2.0,1.0,0.0,0.0
0.0,08-05-2021,2,2.0,1.0,0.0,0.0
0.0,08-05-2021,4,4.0,2.0,0.0,0.0
0.0,08-05-2021,5,15.0,7.0,0.0,0.0
2.0,08-05-2021,0,26.0,13.0,1.0,0.0
2.0,08-05-2021,4,22.0,15.0,1.0,0.0
0.0,08-05-2021,0,14.0,9.0,0.0,0.0
3.0,08-05-2021,4,26.0,15.0,0.0,0.0
3.0,08-05-2021,1,8.0,4.0,0.0,0.0
3.0,08-05-2021,0,40.0,24.0,0.0,1.0
3.0,08-05-2021,5,15.0,7.0,0.0,0.0
4.0,08-05-2021,5,55.0,33.0,0.0,0.0
4.0,08-05-2021,4,42.0,21.0,2.0,1.0
1.0,08-05-2021,0,4.0,2.0,0.0,0.0
4.0,08-05-2021,2,2.0,1.0,0.0,0.0
4.0,08-05-2021,1,16.0,9.0,1.0,0.0
4.0,08-05-2021,0,82.0,49.0,3.0,1.0
1.0,08-05-2021,5,10.0,5.0,0.0,0.0
1.0,08-06-2021,5,5.0,3.0,0.0,0.0
0.0,08-06-2021,0,10.0,7.0,1.0,0.0
